               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078081,             0.34756,                   0,             0.40387,             0.71802,             0.47879,             0.20434,            0.053778,             0.25647,                   0,            0.070158,           0.0033158,           0.0033158
                   1,            0.055958,             0.33122,                   0,             0.78153,             0.77058,             0.83346,             0.38198,            0.045097,             0.24759,                   0,            0.039719,           0.0062103,           0.0062103
                   2,            0.050636,             0.32855,                   0,             0.62943,             0.77474,             0.77297,             0.37261,            0.045264,             0.26249,                   0,           0.0088402,           0.0086648,           0.0086648
                   3,            0.046352,             0.32293,                   0,             0.90318,             0.87336,             0.92765,             0.48007,            0.038864,             0.24132,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.043011,             0.31827,                   0,             0.90773,             0.88432,             0.93539,             0.51209,            0.035912,             0.24012,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.041497,               0.313,                   0,             0.91262,             0.88757,             0.94007,             0.52513,             0.03531,             0.23861,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.040285,             0.31266,                   0,             0.91869,             0.89096,             0.94479,              0.5301,             0.03531,             0.23428,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.039055,             0.30969,                   0,             0.91605,             0.88684,             0.94011,             0.52069,            0.035506,             0.23542,                   0,             0.00604,             0.00604,             0.00604
                   8,             0.03864,             0.30534,                   0,             0.92302,             0.89312,             0.94733,               0.543,            0.034044,             0.23271,                   0,             0.00538,             0.00538,             0.00538
                   9,             0.03774,             0.30895,                   0,             0.92346,             0.89474,             0.94652,              0.5441,            0.033809,             0.23214,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.037327,             0.30097,                   0,              0.9226,             0.89861,             0.94917,             0.54806,            0.033594,             0.23088,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.036511,             0.29701,                   0,             0.92173,             0.90171,             0.94943,              0.5492,            0.033487,             0.22999,                   0,              0.0034,              0.0034,              0.0034
                  12,             0.03624,             0.29798,                   0,             0.92677,              0.8988,             0.95076,              0.5555,            0.033117,             0.22877,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.036095,             0.29555,                   0,             0.92541,              0.9053,              0.9535,             0.55686,            0.033036,             0.22831,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.035671,             0.29369,                   0,             0.93016,             0.90319,             0.95369,             0.56043,            0.032808,             0.22726,                   0,             0.00142,             0.00142,             0.00142
